일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-01-13 11:00,0.5,234.2,1.3,0,66.2
2018-01-13 12:00,3,250.2,1.8,0,58.5
2018-01-13 13:00,3.3,237.6,2.6,0,55.9
2018-01-13 14:00,3.9,232.5,2.3,0,53.3
2018-01-13 15:00,4.8,237.8,2.4,0,49.8
2018-01-13 16:00,4.3,231.6,2.4,0,51.6
2018-01-13 17:00,3.1,239.8,1.9,0,56.1
2018-01-13 18:00,0.8,183.8,0.5,0,67.6
2018-01-13 19:00,0.5,111.8,0.6,0,71.1
2018-01-13 20:00,-0.6,0,0.4,0,76.5
2018-01-13 21:00,-1.8,0,0.3,0,83.1
2018-01-13 22:00,-2,0,0.2,0,85.6
2018-01-13 23:00,-2.7,0,0.2,0,87
2018-01-14 0:00,-3.2,0,0,0,89.3
2018-01-14 1:00,-4,0,0,0,89.8
2018-01-14 2:00,-4.2,0,0,0,90.5
2018-01-14 3:00,-4.9,0,0,0,90.9
2018-01-14 4:00,-5.6,0,0,0,91.3
2018-01-14 5:00,-5.7,0,0,0,90.9
2018-01-14 6:00,-5.8,0,0,0,91
2018-01-14 7:00,-6.6,0,0,0,89.6
2018-01-14 8:00,-6.4,0,0,0,90.1
2018-01-14 9:00,-5.1,0,0.3,0,89.2
2018-01-14 10:00,-2.6,207.6,0.6,0,76.1
2018-01-14 11:00,0.1,290.1,0.6,0,67.7
2018-01-14 12:00,2.2,322,0.5,0,60.1
2018-01-14 13:00,4.6,352.3,0.9,0,52.1
2018-01-14 14:00,6,314.5,1.1,0,43.6
2018-01-14 15:00,8.1,247.3,2.3,0,45.8
2018-01-14 16:00,6.7,256.9,1.3,0,53.1
2018-01-14 17:00,6.2,241,0.7,0,53.8
2018-01-14 18:00,6.1,156.8,1.4,0,55
2018-01-14 19:00,3.7,0,0.3,0,67.6
2018-01-14 20:00,3.2,0,0.3,0,70.5
2018-01-14 21:00,2.9,77.7,0.5,0,73.9
2018-01-14 22:00,2.9,0,0.1,0,75.5
2018-01-14 23:00,2.3,0,0.1,0,78.1
2018-01-15 0:00,2.1,0,0.3,0,79.2
2018-01-15 1:00,2.2,0,0.1,0,79.3
2018-01-15 2:00,2.4,0,0.3,0,79.9
2018-01-15 3:00,2,0,0.3,0,82.2
2018-01-15 4:00,2.6,0,0,0,80.6
2018-01-15 5:00,2.5,336,0.7,0,82.5
2018-01-15 6:00,3.3,0,0.2,0,83.1
2018-01-15 7:00,5,232.2,0.8,0,83.4
2018-01-15 8:00,4.9,0,0.4,0,84.5
2018-01-15 9:00,6.3,235.4,1.9,0,81.2
2018-01-15 10:00,7.4,246.9,2.4,0,77.8
2018-01-15 11:00,7.2,243.8,2.8,0,78.9
2018-01-15 12:00,8.3,254.5,2.1,0,70.9
2018-01-15 13:00,9.6,247.2,2.5,0,61.2
2018-01-15 14:00,10.3,227.1,2.4,0,55.7
2018-01-15 15:00,10.3,227.3,2,0,53.7
2018-01-15 16:00,10.6,238.7,0.9,0,53.2
2018-01-15 17:00,9,225.9,0.8,0,57.3
2018-01-15 18:00,6.6,107.5,0.7,0,65.3
2018-01-15 19:00,5.7,143.8,0.7,0,68.8
2018-01-15 20:00,4.9,0,0,0,72.5
2018-01-15 21:00,4.4,0,0.2,0,77
2018-01-15 22:00,3.4,0,0.1,0,80.8
2018-01-15 23:00,2.9,0,0.1,0,83.3
2018-01-16 0:00,2.3,0,0.1,0,86.1
2018-01-16 1:00,1.8,0,0.4,0,89.1
2018-01-16 2:00,0.9,0,0.1,0,91.7
2018-01-16 3:00,0.7,113,0.5,0,93.5
2018-01-16 4:00,0.6,0,0.3,0,91.5
2018-01-16 5:00,1,0,0.3,0,90.1
2018-01-16 6:00,1.8,0,0.2,0,89
2018-01-16 7:00,1.6,0,0.2,0,88.1
2018-01-16 8:00,2,223.9,0.7,0,87.2
2018-01-16 9:00,2.6,0,0.3,0,85.2
2018-01-16 10:00,3.7,0,0.2,0,82.9
2018-01-16 11:00,5.2,321.7,1.1,0,76.7
2018-01-16 12:00,6.4,0,0.2,0,69.3
2018-01-16 13:00,6.9,0,0.1,0,68.3
2018-01-16 14:00,7.5,0,0.1,0,63.8
2018-01-16 15:00,7.5,328.2,0.6,0,63.4
2018-01-16 16:00,7.7,18,1.6,0,57.3
2018-01-16 17:00,5.5,123.5,1.6,0,84.1
2018-01-16 18:00,4.8,128.3,0.9,0.5,92.2
2018-01-16 19:00,3.8,131.9,1,2.5,91.8
2018-01-16 20:00,4,251.1,0.8,0.5,92.5
2018-01-16 21:00,4.1,265.1,0.6,0,94.1
2018-01-16 22:00,3.8,121.7,0.7,0,96
2018-01-16 23:00,3.8,0,0.2,0,95.9
2018-01-17 0:00,3.7,0,0.3,0,97.4
2018-01-17 1:00,3.7,0,0.1,0,98
2018-01-17 2:00,3.9,14.9,1.2,0,97.2
